turn_number,speaker,text,stage
29,Assistant,Is this your WhatsApp Number?,WhatsApp Number
30,User,"Yes ma'am, this is the WhatsApp number.",NA
31,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Sourabh Appasab Jodahatti?",Greeting
2,User,"Yes, yes madam.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,No madam.,NA
5,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
6,User,Yes madam.,NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,Yes madam.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,"No madam, this degree is finished madam.",NA
11,Assistant,Is BACHELOR OF SCIENCE your highest level of education?,Education
12,User,Yes madam.,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
14,User,"No madam, we are applying for a government job.",NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
16,User,Government job.,NA
17,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Job Role
18,User,"Government shop madam, government shop.",NA
19,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
20,User,"No madam, I don't have any interest in that.",NA
21,Assistant,Let me confirm your details. You are looking for a Government job Government shop job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
22,User,Yes.,NA
23,Assistant,Are you looking for a job in Raybag Belagavi?,Intent
24,User,Yes madam.,NA
25,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
26,User,Ah okay madam.,NA
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
28,User,Yes madam.,NA
29,Assistant,Is this your WhatsApp Number?,WhatsApp Number
30,User,"Ah, no madam.",NA
31,Assistant,Please share your WhatsApp number. Please tell the ten digit number at once,WhatsApp Number
32,User,Yes,NA
33,Assistant,Please share your WhatsApp number. Please tell the ten digit number at once,WhatsApp Number
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Priyanka Mahadev Katti?",Greeting
2,User,Yes ma'am.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Ah yes ma'am.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"It has changed, ma'am.",NA
7,Assistant,Okay. What is your current age?,Profile
8,User,Twenty one.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No ma'am.,NA
11,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
12,User,Yes ma'am.,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,Part time job.,Job Type
15,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Job Role
16,User,In the bank.,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,Travel help.,Additional Needs
19,Assistant,Let me confirm your details. You are looking for a part time job In the bank job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
20,User,Yes ma'am.,NA
21,Assistant,Are you looking for a job in Chikodi Belagavi?,Intent
22,User,Yes,NA
23,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
24,User,Okay ma'am.,NA
25,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
26,User,"Yes ma'am, I will do it.",NA
27,Assistant,Is this your WhatsApp Number?,WhatsApp Number
28,User,Yes.,NA
29,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Girish Ramaraddi Mooganur?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,Twenty-five.,NA
7,Assistant,Have you ever done a job before? Hey are you still on call?,Experience
8,User,"Yes, I am here.",NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No.,NA
11,Assistant,Is BACHELOR OF ENGINEERING your highest level of education?,Education
12,User,Yes,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
14,User,Anything else?,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
16,User,Government,NA
17,Assistant,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Job Role
18,User,Government,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,I didn't understand.,Clarification
21,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
22,User,Accommodation.,Additional Needs
23,Assistant,Let me confirm your details. You are looking for a Government Government job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
24,User,Yes.,NA
25,Assistant,Are you looking for a job in SAVADATTI Belagavi?,Intent
26,User,No.,NA
27,Assistant,What is the name of the district you are looking for a job in?,Intent
28,User,Karnataka.,NA
29,Assistant,What is the name of the district you are looking for a job in?,Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Santosh Mangasuli?",Greeting
2,User,"Yes, who are you?",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It is wrong.,NA
7,Assistant,We cannot continue because you are under 18 years old. Thank you.,Profile
8,User,We are above eighteen.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,We have done it.,NA
11,Assistant,How many years of work experience do you have?,Experience
12,User,You are about seventeen years old.,Profile
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,Full time job.,Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for,Job Role
16,User,"We are looking for a banking job, we are looking for a government job.",NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Naveen Shivanappa Singannavar?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It has been changed.,NA
7,Assistant,"Okay, what is your current age?",Profile
8,User,Twenty four.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No sir.,NA
11,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
12,User,Yes,NA
13,Assistant,Okay. What kind of job are you looking for?,Job Role
14,User,Army,NA
15,Assistant,What job roles are you looking for? You can tell any job you are looking for,Job Role
16,User,Central Central Government.,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,"That's not it, tell me.",NA
19,Assistant,Let me confirm your details. You are looking for a Army Central Government job. Is this correct? Please say yes to continue or tell me what to change. Hey are you still on call?,Confirmation
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Basavaraj Balappa Patil?",Greeting
2,User,"Yes, tell me madam.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"Okay madam, thanks madam.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
